date,total,drawdown,unallocated_cash,invested_total,应急现金/灵活资金,固收/债券,A股宽基,A股红利,美股宽基,黄金,主题仓
2022-04-29,500210.9818966668,0.0,455216.7118109295,9977.599946435002,35016.670139302274,9977.599946435004,0.0,0.0,0.0,0.0,0.0
2022-05-31,500776.6247482989,-4.070461409910742e-05,445694.5669821281,20027.850777726562,35054.20698844428,20027.850777726562,0.0,0.0,0.0,0.0,0.0
2022-06-30,501265.3554833613,0.0,436188.1767283686,29983.305882327666,35093.872872665,29983.305882327666,0.0,0.0,0.0,0.0,0.0
2022-07-29,501766.2480679037,0.0,426721.82512026525,39906.65661252382,35137.76633511462,33511.428460497,3213.90317257877,1436.2854357491271,627.7793619771785,908.9196650444421,208.34051667730043
2022-08-31,502613.05904713174,-5.511168707494907e-05,417293.30686604284,50133.84906000497,35185.90312108392,37123.81733911415,6507.3306682381,3035.6591665848855,1198.037903494612,1832.2904332792705,436.7135492939737
2022-09-30,501979.7896885455,-0.002437621059702577,407803.32260662725,58946.55539207346,35229.91168984479,40209.30663979188,9270.953443382346,4448.445165896582,1658.1541667125502,2775.3311156318064,584.3648606582816
2022-10-31,501366.4131430288,-0.0036565573167011145,398182.9478647073,67919.9863087637,35263.47896955775,43160.23689733683,12363.553661350357,5750.658109459805,2304.045670028039,3524.544803283642,816.9471673050257
2022-11-30,504141.84494779457,0.0,388692.19649534166,80139.96224464336,35309.68620780955,45406.439606066226,18095.880562744704,8419.281595307559,2795.39515369964,4412.7774088343085,1010.1879179909135
2022-12-30,504262.14984215813,-0.0013784670992689207,379189.00899027614,89717.18685850856,35355.953993373434,48336.85469940023,22326.922747203065,9658.494540834017,3048.778264361146,5206.359582957645,1139.7770237524676
2023-01-31,507223.85957299324,-0.0007339163862225551,369541.3703517729,102292.84785424062,35389.64136697978,50942.667337199855,28499.464691406363,11785.708134814366,3570.429166611218,6073.539219507131,1421.0393047016967
2023-02-28,507400.20667520503,-0.0010163601220225527,359825.1177508959,111998.17712149922,35576.911802809904,54414.06201403243,31089.043425206575,13725.73413566237,4241.854549323721,6907.656798748991,1619.826198525108
2023-03-31,508894.3488694539,0.0,350304.95472751,122963.74394829353,35625.650193650334,58074.8647059524,34207.42421378233,15373.508232419867,4859.843219209503,8358.172691474245,2089.930885455193
2023-04-28,510849.6869144996,-0.0011572674658454352,340660.2125254825,134493.0986635362,35696.375725480866,61817.230487579334,37302.683399803864,18185.84628637962,5582.5557261113945,9334.321257610118,2270.461506051849
2023-05-31,508928.7341964325,-0.006838249871904067,330942.5756440582,142135.1645240828,35850.994028291534,65130.69696241348,38951.37990513246,19064.10134292203,6326.437113209899,10215.822031994523,2446.7271684103953
2023-06-30,510472.2717429169,-0.0038260747910936477,321325.4621817259,153253.1116350972,35893.69792609386,68032.82732318463,44055.81483713569,20497.615656515685,7278.516866501555,10916.233575348722,2472.1033764108784
2023-07-31,515350.9818642,0.0,311715.44668488303,167696.94341412437,35938.59176519261,70916.68124875355,50787.470156213225,23607.239544257984,7913.442979380008,11825.791800018427,2646.317685501128
2023-08-31,511903.5287260432,-0.006785238834721263,301999.96782749565,173786.32700119674,36117.23389735077,74775.34642640056,50648.161237986154,24041.868251303997,8556.862512199583,13008.090272054927,2755.998301251497
2023-09-28,510563.5766253184,-0.00938506503440839,292348.3793889506,182054.94230969663,36160.254926671136,77282.98578807934,53569.00329807062,26278.607651403934,8538.817182290933,13576.330194114891,2809.198195736907
2023-10-31,508638.0870502206,-0.013120973386547274,282634.8209565359,189806.40300351562,36196.86309016907,80180.3296252512,55706.95143640914,27059.968809528946,8761.42734874399,14928.40266312354,3169.3231204587964
2023-11-30,508036.5058856091,-0.014288184119042424,272992.66195566003,198799.55054856514,36244.29338138393,82981.83750754622,58381.40098383577,28690.652711575975,9872.429850447523,15559.567883434984,3313.6616117246804
